gname,target,Number_of_Cases
Halqa-e-Mehsud,Police,1
Halqa-e-Mehsud,Private Citizens & Property,4
Halqa-e-Mehsud,Terrorists/Non-State Militia,1
Hamas (Islamic Resistance Movement),Airports & Aircraft,1
Hamas (Islamic Resistance Movement),Business,16
Hamas (Islamic Resistance Movement),Educational Institution,7
Hamas (Islamic Resistance Movement),Government (Diplomatic),1
Hamas (Islamic Resistance Movement),Government (General),14
Hamas (Islamic Resistance Movement),Journalists & Media,2
Hamas (Islamic Resistance Movement),Maritime,1
Hamas (Islamic Resistance Movement),Military,103
Hamas (Islamic Resistance Movement),Police,26
Hamas (Islamic Resistance Movement),Private Citizens & Property,162
Hamas (Islamic Resistance Movement),Religious Figures/Institutions,1
Hamas (Islamic Resistance Movement),Terrorists/Non-State Militia,2
Hamas (Islamic Resistance Movement),Tourists,1
Hamas (Islamic Resistance Movement),Transportation,30
Hamas (Islamic Resistance Movement),Unknown,27
Hamas (Islamic Resistance Movement),Utilities,1
Hamas (Islamic Resistance Movement),Violent Political Party,13
Hamawand Tribe,Violent Political Party,1
Hamza Combat Group against Atheism and Heresy,Journalists & Media,1
Hanafi Muslims,Government (General),1
Hanafi Muslims,Private Citizens & Property,1
Hanafi Muslims,Religious Figures/Institutions,1
Hanchongryun,Police,1
Haqqani Network,Airports & Aircraft,2
Haqqani Network,Business,8
Haqqani Network,Government (Diplomatic),10
Haqqani Network,Government (General),17
Haqqani Network,Journalists & Media,2
Haqqani Network,Military,17
Haqqani Network,Police,9
Haqqani Network,Private Citizens & Property,12
Haqqani Network,Unknown,9
Harakat Ansar Iran (HAI),Religious Figures/Institutions,1
Harakat al-Nujaba,Government (Diplomatic),1
Harakat ul-Mujahidin (HuM),Airports & Aircraft,1
Harakat ul-Mujahidin (HuM),Government (General),2
Harakat ul-Mujahidin Al-Almi,Government (Diplomatic),1
Harakat-i-Inqilahi-i-Islami,NGO,1
Harkat ul Ansar,Business,1
Harkat ul Ansar,Police,2
Harkat ul Ansar,Private Citizens & Property,4
Harkat ul Ansar,Tourists,1
Harkat ul Ansar,Unknown,3
Harkatul Jihad-e-Islami,Business,2
Harkatul Jihad-e-Islami,Educational Institution,1
Harkatul Jihad-e-Islami,Government (General),2
Harkatul Jihad-e-Islami,Police,2
Harkatul Jihad-e-Islami,Private Citizens & Property,7
Harkatul Jihad-e-Islami,Religious Figures/Institutions,3
Harkatul Jihad-e-Islami,Transportation,1
Hasam Movement,Government (Diplomatic),1
Hasam Movement,Government (General),3
Hasam Movement,Police,11
Hasam Movement,Religious Figures/Institutions,1
Hasmoneans (Jewish Settler Group),Government (General),1
Hassan Mabkhut Group,Utilities,2
Hatikvah Leumi or National Hope,Terrorists/Non-State Militia,1
Hauso Ethnic Group,Private Citizens & Property,1
Hawaiian extremists,Military,1
Hay Andalus Defense Operations Room,Private Citizens & Property,1
Hay'at Tahrir al-Sham,Business,1
Hay'at Tahrir al-Sham,Government (General),1
Hay'at Tahrir al-Sham,Journalists & Media,1
Hay'at Tahrir al-Sham,Military,19
Hay'at Tahrir al-Sham,NGO,1
Hay'at Tahrir al-Sham,Private Citizens & Property,16
Hay'at Tahrir al-Sham,Terrorists/Non-State Militia,1
Hector Rio De Brigade,Government (General),1
Hekla Reception Committee-Initiative for More Social Eruptions,Transportation,5
Hells Angels,Police,1
Heroes of Canto Grande,Government (General),1
Hezb-e Wahdat-e Islami-yi Afghanistan,Government (General),1
Hezb-e Wahdat-e Islami-yi Afghanistan,Journalists & Media,1
Hezb-e Wahdat-e Islami-yi Afghanistan,Religious Figures/Institutions,1
Hezb-e Wahdat-e Islami-yi Afghanistan,Terrorists/Non-State Militia,2
Hezbollah,Airports & Aircraft,11
Hezbollah,Business,22
Hezbollah,Educational Institution,6
Hezbollah,Government (Diplomatic),27
Hezbollah,Government (General),17
Hezbollah,Journalists & Media,5
Hezbollah,Maritime,1
Hezbollah,Military,141
Hezbollah,NGO,1
Hezbollah,Police,3
Hezbollah,Private Citizens & Property,53
Hezbollah,Religious Figures/Institutions,6
Hezbollah,Terrorists/Non-State Militia,90
Hezbollah,Tourists,2
Hezbollah,Transportation,4
Hezbollah,Unknown,7
Hezbollah,Utilities,1
Hezbollah,Violent Political Party,9
Hezbollah Palestine,Business,1
Hezbollah Palestine,Military,1
Hezbollah Palestine,Transportation,1
High Council for the Unity of Azawad (HCUA),Government (Diplomatic),4
Hijaz Province of the Islamic State,Business,1
Hijaz Province of the Islamic State,Government (Diplomatic),1
Hijaz Province of the Islamic State,Military,1
Hijaz Province of the Islamic State,Religious Figures/Institutions,3
Hill Students Council,Educational Institution,1
Hill Tiger Force (HTF),Private Citizens & Property,2
Hill Tiger Force (HTF),Transportation,2
Himali Tigers,Government (General),1
Hindu Illaignar Sena,Airports & Aircraft,1
Hindu Illaignar Sena,Journalists & Media,1
Hindu Morcha Nepal,Religious Figures/Institutions,4
Hindu extremists,Business,4
Hindu extremists,Government (General),1
Hindu extremists,Private Citizens & Property,6
Hindu extremists,Religious Figures/Institutions,8
Hiroyuki Jo,Religious Figures/Institutions,1
Hizb al-Tahrir al-Islami (HT),Educational Institution,1
Hizb al-Tahrir al-Islami (HT),Government (General),1
Hizb al-Tahrir al-Islami (HT),Transportation,1
Hizb-I-Islami,Airports & Aircraft,2
Hizb-I-Islami,Business,3
Hizb-I-Islami,Educational Institution,2
Hizb-I-Islami,Government (General),5
Hizb-I-Islami,Journalists & Media,1
Hizb-I-Islami,Military,13
Hizb-I-Islami,NGO,2
Hizb-I-Islami,Police,6
Hizb-I-Islami,Private Citizens & Property,4
Hizb-I-Islami,Religious Figures/Institutions,1
Hizb-I-Islami,Terrorists/Non-State Militia,1
Hizb-I-Islami,Transportation,2
Hizb-I-Islami,Unknown,2
Hizballah-Iraq,Private Citizens & Property,1
Hizbul Mujahideen (HM),Business,7
Hizbul Mujahideen (HM),Educational Institution,3
Hizbul Mujahideen (HM),Government (General),31
Hizbul Mujahideen (HM),Military,57
Hizbul Mujahideen (HM),Police,65
Hizbul Mujahideen (HM),Private Citizens & Property,31
Hizbul Mujahideen (HM),Religious Figures/Institutions,1
Hizbul Mujahideen (HM),Terrorists/Non-State Militia,2
Hizbul Mujahideen (HM),Transportation,1
Hizbul Mujahideen (HM),Unknown,1
Hizbul al Islam (Somalia),Journalists & Media,1
Hizbul al Islam (Somalia),NGO,1
Hizbul al Islam (Somalia),Private Citizens & Property,9
Hizbul al Islam (Somalia),Telecommunication,1
Hizbul al Islam (Somalia),Terrorists/Non-State Militia,6
Hmar People's Convention-Democracy (HPC-D),Business,1
Hmar People's Convention-Democracy (HPC-D),Government (General),3
Hmar People's Convention-Democracy (HPC-D),Police,1
Hmar People's Convention-Democracy (HPC-D),Private Citizens & Property,1
Hofstad Network,Private Citizens & Property,1
Holders of the Black Banners,Business,1
Holy Spirit Movement,Business,3
Holy Spirit Movement,Military,2
Holy Spirit Movement,Private Citizens & Property,2
Homeland and Freedom Group,Utilities,1
Honour of the Police,Terrorists/Non-State Militia,1
Hoodie Wearers,Police,1
Hotaru (Firefly),Government (General),1
Houthi extremists (Ansar Allah),Airports & Aircraft,8
Houthi extremists (Ansar Allah),Business,34
Houthi extremists (Ansar Allah),Educational Institution,25
Houthi extremists (Ansar Allah),Food or Water Supply,1
Houthi extremists (Ansar Allah),Government (Diplomatic),10
Houthi extremists (Ansar Allah),Government (General),58
Houthi extremists (Ansar Allah),Journalists & Media,55
Houthi extremists (Ansar Allah),Maritime,4
Houthi extremists (Ansar Allah),Military,264
Houthi extremists (Ansar Allah),NGO,12
Houthi extremists (Ansar Allah),Police,36
Houthi extremists (Ansar Allah),Private Citizens & Property,426
Houthi extremists (Ansar Allah),Religious Figures/Institutions,24
Houthi extremists (Ansar Allah),Terrorists/Non-State Militia,55
Houthi extremists (Ansar Allah),Transportation,6
Houthi extremists (Ansar Allah),Unknown,15
Houthi extremists (Ansar Allah),Utilities,5
Houthi extremists (Ansar Allah),Violent Political Party,24
Hubay Qah Group,Private Citizens & Property,1
Human Rights Defence Committee,Government (General),1
Human Rights Renewal Movement (Renovacion por los Derechos Humanos),Government (General),1
Hungarian Skin Head Group,Government (Diplomatic),1
Hungarian exile,Government (Diplomatic),1
Huria Kristen Batak Protestan (HKBP),Religious Figures/Institutions,4
Hushaysh Tribal Members,Government (Diplomatic),1
Hutu extremists,Airports & Aircraft,1
Hutu extremists,Business,6
Hutu extremists,Educational Institution,39
Hutu extremists,Government (Diplomatic),2
Hutu extremists,Government (General),5
Hutu extremists,Military,7
Hutu extremists,NGO,3
Hutu extremists,Police,3
Hutu extremists,Private Citizens & Property,87
Hutu extremists,Religious Figures/Institutions,5
Hutu extremists,Tourists,3
Hutu extremists,Transportation,4
Hutu extremists,Unknown,3
Hutus Former Soldiers,Government (General),1
Hutus Former Soldiers,Private Citizens & Property,4
Hynniewtrep National Liberation Council (HNLC),Police,1
Hynniewtrep National Liberation Council (HNLC),Private Citizens & Property,3
Hynniewtrep National Liberation Council (HNLC),Unknown,1
Iberian Anarchist Federation,Business,2
Iberian Anarchist Federation,Religious Figures/Institutions,1
Iberian Liberation Movement (MIL),Business,8
Iberian Liberation Movement (MIL),Government (Diplomatic),1
Iberian Liberation Movement (MIL),Government (General),1
Iconoclastic Nihilists,Religious Figures/Institutions,1
Iconoclasts,Religious Figures/Institutions,1
Idealist Association,Government (General),2
Idealist Association,Private Citizens & Property,1
Idriss Miskine Group,Airports & Aircraft,1
Igbo tribal group,Business,1
Ijaw extremists,Business,3
Ijaw extremists,Police,1
Ijaw extremists,Private Citizens & Property,12
Ijaw extremists,Utilities,3
Ikhwan Jammu and Kashmir,Government (General),1
Ikhwan Jammu and Kashmir,Journalists & Media,1
Ikhwan-ul-Muslimeen,Business,1
Ikhwan-ul-Muslimeen,Private Citizens & Property,2
Illuminating Paths of Solidarity,Government (General),6
Imam Hussein Brigade,Government (Diplomatic),1
Imam Hussein Brigade,Government (General),1
Imam Shamil Battalion,Transportation,2
Imperial Iranian Patriotic Organization,Business,1
Incel extremists,Educational Institution,1
Incel extremists,Private Citizens & Property,2
Incendiary Committee of Solidarity for Detainees,Business,1
Independence Advocates,Military,1
Independent Albanian Movement,Business,1
Independent Armed Revolutionary Commandos (CRIA),Business,5
Independent Armed Revolutionary Commandos (CRIA),Government (General),12
Independent Armed Revolutionary Commandos (CRIA),Police,2
Independent Nasserite Movement,Business,1
Independent Nasserite Movement,Government (General),1
Independent Peasants Union,Business,4
Independent Peasants Union,Private Citizens & Property,1
Indian Mujahideen,Business,9
Indian Mujahideen,Government (General),2
Indian Mujahideen,Other,1
Indian Mujahideen,Police,1
Indian Mujahideen,Private Citizens & Property,16
Indian Mujahideen,Religious Figures/Institutions,5
Indian Mujahideen,Telecommunication,1
Indian Mujahideen,Transportation,9
Indian Mujahideen,Unknown,1
Indian Mujahideen,Violent Political Party,7
Indian Tigers,Business,1
Indians,Violent Political Party,1
Indigenous People of Biafra (IPOB),Military,1
Indigenous People of Biafra (IPOB),Police,1
Indigenous People of Biafra (IPOB),Private Citizens & Property,1
Indigenous People of Biafra (IPOB),Religious Figures/Institutions,1
Indigenous People's Federal Army (IPFA),Telecommunication,1
Indigenous People's Front of Tripura (IPFT),Journalists & Media,1
Indipendenza,Business,9
Indipendenza,Private Citizens & Property,1
Individuals Tending Toward Savagery,Business,2
Individuals Tending Toward Savagery,Educational Institution,1
Individuals claimed to be policemen,Journalists & Media,1
Informal Anarchist Federation,Business,10
Informal Anarchist Federation,Educational Institution,1
Informal Anarchist Federation,Government (Diplomatic),5
Informal Anarchist Federation,Government (General),9
Informal Anarchist Federation,Journalists & Media,2
Informal Anarchist Federation,Military,4
Informal Anarchist Federation,NGO,1
Informal Anarchist Federation,Police,5
Informal Anarchist Federation,Private Citizens & Property,4
Informal Anarchist Federation,Telecommunication,2
Informal Anarchist Federation,Transportation,1
Informal Anarchist Federation,Violent Political Party,1
Informal Feminist Commando for Anti-authoritarian Action,Religious Figures/Institutions,1
Ingush Rebels,Government (General),1
Ingush Rebels,Military,2
Ingush Rebels,Police,1
Initiative de Resistance Internationaliste,Utilities,1
Inkatha Freedom Party (IFP),Educational Institution,3
Inkatha Freedom Party (IFP),Government (General),1
Inkatha Freedom Party (IFP),Police,1
Inkatha Freedom Party (IFP),Private Citizens & Property,10
Inkatha Freedom Party (IFP),Religious Figures/Institutions,1
Inkatha Freedom Party (IFP),Transportation,3
Inkatha Freedom Party (IFP),Violent Political Party,31
Inkotanyi,Government (General),1
Inkotanyi,Private Citizens & Property,1
Institutional Revolutionary Party (PRI),Government (General),1
Institutional Revolutionary Party (PRI),Private Citizens & Property,13
Insurgency Commune,Government (General),1
Insurgents,Business,2
Insurgents,Government (General),1
Insurgents,Military,2
Insurgents,Police,4
Insurgents,Private Citizens & Property,4
Internal Front,Government (General),1
International Anti-Communist Intelligence Service,Private Citizens & Property,1
International Committee Against Nazism,Government (General),3
International Committee Against Nazism,Private Citizens & Property,2
International Communist Brigade,Government (General),1
International Communist Group,Government (Diplomatic),2
International Justice Group (Gama'a al-Adela al-Alamiya),Government (Diplomatic),1
International Mercenary Brigade,Police,2
International Movement of the Prolitariat,Airports & Aircraft,1
International Proletarian Groups,Business,1
International Revolutionary Action Group (GARI),Airports & Aircraft,3
International Revolutionary Action Group (GARI),Business,10
International Revolutionary Action Group (GARI),Government (Diplomatic),6
International Revolutionary Action Group (GARI),Private Citizens & Property,4
International Revolutionary Action Group (GARI),Transportation,2
International Revolutionary Front,Business,2
International Revolutionary Solidarity,Airports & Aircraft,1
International Revolutionary Solidarity,Business,1
International Revolutionary Solidarity,Government (General),2
International Revolutionary Solidarity,Utilities,2
